seqid	RNA1	RNA2	RNA3	RNA4
981	0.8267	0.9995	1.241	1.403
982	0.801	1.117	1.363	1.418
983	0.9077	1.169	1.357	1.444
984	0.5483	0.68	0.8315	0.3813
985	0.8813	1.089	1.28	1.335
986	0.84	1.065	1.249	1.262
987	1.093	1.347	1.541	1.629
988	0.603	0.915	1.175	1.273
989	1.135	1.308	1.545	1.638
990	0.5557	0.923	1.127	1.231
991	0.7837	1.03	1.236	1.305
992	0.658	0.889	1.156	1.321
993	0.9277	1.136	1.422	1.5
994	0.878	1.018	1.166	1.247
995	0.898	1.016	1.208	1.27
996	0.5225	0.7144	0.952	1.033
997	0.866	1.085	1.266	1.325
998	0.7603	1.001	1.268	1.374
999	0.8364	1.097	1.326	1.429
